      Freq,       |Av|,       /_Av,       |Ai|,       /_Ai,       |Ap|,       /_Ap,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),     Re(Av),     Im(Av),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),     Re(Ai),     Im(Ai),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout)
        Hz,         dB,       Rads,         dB,       Rads,         dB,       Rads,          V,          V,          V,          V,          L,          L,          A,          A,          A,          A,          L,          L,       Ohms,       Ohms,       Ohms,       Ohms,          W,          W,          W,          W
 9.237e+05, -2.050e+01,  2.150e+00, -1.674e+01, -2.576e+00, -1.862e+01, -1.557e+00,  3.506e+00,  2.255e+00, -3.594e-01,  1.603e-01, -5.171e-02,  7.899e-02,  2.988e-02, -4.509e-02, -7.187e-03,  3.207e-03, -1.228e-01, -7.801e-02,  1.058e+00,  7.705e+01,  1.058e+00,  7.705e+01,  3.097e-03,  2.255e-01,  3.097e-03, -2.168e-19,
 9.639e+05, -2.174e+01,  2.122e+00, -1.747e+01, -2.601e+00, -1.961e+01, -1.560e+00,  3.629e+00,  2.203e+00, -3.091e-01,  1.584e-01, -4.287e-02,  6.967e-02,  2.742e-02, -4.407e-02, -6.182e-03,  3.168e-03, -1.147e-01, -6.888e-02,  8.956e-01,  8.180e+01,  8.956e-01,  8.180e+01,  2.412e-03,  2.203e-01,  2.412e-03,  0.000e+00,
 1.004e+06, -2.293e+01,  2.097e+00, -1.817e+01, -2.624e+00, -2.055e+01, -1.562e+00,  3.738e+00,  2.150e+00, -2.668e-01,  1.536e-01, -3.587e-02,  6.174e-02,  2.524e-02, -4.300e-02, -5.337e-03,  3.073e-03, -1.073e-01, -6.111e-02,  7.627e-01,  8.648e+01,  7.627e-01,  8.648e+01,  1.896e-03,  2.150e-01,  1.896e-03,  1.084e-19,
 1.044e+06, -2.405e+01,  2.074e+00, -1.884e+01, -2.645e+00, -2.144e+01, -1.564e+00,  3.835e+00,  2.096e+00, -2.313e-01,  1.472e-01, -3.027e-02,  5.495e-02,  2.331e-02, -4.192e-02, -4.625e-03,  2.945e-03, -1.005e-01, -5.444e-02,  6.534e-01,  9.111e+01,  6.534e-01,  9.111e+01,  1.503e-03,  2.096e-01,  1.503e-03,  2.168e-19,
 1.084e+06, -2.512e+01,  2.054e+00, -1.949e+01, -2.665e+00, -2.230e+01, -1.565e+00,  3.921e+00,  2.042e+00, -2.012e-01,  1.400e-01, -2.574e-02,  4.911e-02,  2.159e-02, -4.085e-02, -4.024e-03,  2.799e-03, -9.426e-02, -4.870e-02,  5.629e-01,  9.568e+01,  5.629e-01,  9.568e+01,  1.201e-03,  2.042e-01,  1.201e-03,  0.000e+00,
 1.125e+06, -2.615e+01,  2.035e+00, -2.011e+01, -2.683e+00, -2.313e+01, -1.566e+00,  3.998e+00,  1.990e+00, -1.758e-01,  1.323e-01, -2.204e-02,  4.406e-02,  2.005e-02, -3.979e-02, -3.515e-03,  2.646e-03, -8.852e-02, -4.373e-02,  4.874e-01,  1.002e+02,  4.874e-01,  1.002e+02,  9.677e-04,  1.990e-01,  9.677e-04, -1.084e-19,
 1.165e+06, -2.713e+01,  2.017e+00, -2.072e+01, -2.699e+00, -2.392e+01, -1.567e+00,  4.067e+00,  1.938e+00, -1.541e-01,  1.245e-01, -1.898e-02,  3.967e-02,  1.867e-02, -3.876e-02, -3.082e-03,  2.491e-03, -8.324e-02, -3.941e-02,  4.241e-01,  1.047e+02,  4.241e-01,  1.047e+02,  7.851e-04,  1.938e-01,  7.851e-04, -5.421e-20,
 1.205e+06, -2.808e+01,  2.001e+00, -2.130e+01, -2.715e+00, -2.469e+01, -1.567e+00,  4.129e+00,  1.888e+00, -1.356e-01,  1.170e-01, -1.645e-02,  3.585e-02,  1.743e-02, -3.777e-02, -2.712e-03,  2.339e-03, -7.838e-02, -3.564e-02,  3.707e-01,  1.091e+02,  3.707e-01,  1.091e+02,  6.413e-04,  1.888e-01,  6.413e-04, -5.421e-20,
 1.245e+06, -2.899e+01,  1.986e+00, -2.187e+01, -2.729e+00, -2.543e+01, -1.568e+00,  4.185e+00,  1.840e+00, -1.198e-01,  1.096e-01, -1.433e-02,  3.250e-02,  1.631e-02, -3.680e-02, -2.395e-03,  2.193e-03, -7.391e-02, -3.233e-02,  3.254e-01,  1.136e+02,  3.254e-01,  1.136e+02,  5.273e-04,  1.840e-01,  5.273e-04,  0.000e+00,
 1.285e+06, -2.987e+01,  1.972e+00, -2.241e+01, -2.743e+00, -2.614e+01, -1.568e+00,  4.235e+00,  1.793e+00, -1.061e-01,  1.027e-01, -1.254e-02,  2.955e-02,  1.529e-02, -3.587e-02, -2.122e-03,  2.054e-03, -6.980e-02, -2.942e-02,  2.868e-01,  1.180e+02,  2.868e-01,  1.180e+02,  4.361e-04,  1.793e-01,  4.361e-04,  0.000e+00,
