      Freq,       |Av|,       /_Av,       |Ai|,       /_Ai,      |Pin|,      /_Pin,     |Pout|,     /_Pout,    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout)
        Hz,         dB,       Rads,         dB,       Rads,        dBW,       Rads,        dBW,       Rads,       Ohms,       Ohms,       Ohms,       Ohms,          V,          V,          V,          V,          A,          A,          A,          A
 1.812e+05, -3.963e-01,  1.322e+00, -1.607e-01,  1.676e+00, -1.690e+01,  3.543e-01, -1.718e+01, -6.797e-17,  3.045e+02,  1.126e+02,  2.892e+02, -1.071e+02,  2.535e+00,  4.475e-01,  1.819e-01,  2.453e+00,  7.801e-03, -1.416e-03,  5.756e-04,  7.762e-03,
 1.879e+05, -2.267e-01,  1.380e-01,  2.265e-01,  1.452e-01, -1.704e+01,  7.231e-03, -1.704e+01,  2.194e-17,  3.329e+02,  2.407e+00,  2.999e+02, -2.290e+00,  2.565e+00,  9.033e-03,  2.474e+00,  3.525e-01,  7.705e-03, -2.858e-05,  7.830e-03,  1.115e-03,
 1.946e+05,  2.579e-01, -1.406e+00, -7.722e-01, -1.065e+00, -1.693e+01,  3.407e-01, -1.718e+01, -4.536e-17,  2.645e+02,  9.379e+01,  3.363e+02, -1.189e+02,  2.348e+00,  4.285e-01,  8.325e-01, -2.313e+00,  8.394e-03, -1.356e-03,  2.635e-03, -7.320e-03,
 2.014e+05, -8.218e-01, -2.623e+00,  7.619e-01, -2.506e+00, -1.706e+01,  1.173e-01, -1.709e+01,  8.875e-17,  3.766e+02,  4.436e+01,  2.617e+02, -3.118e+01,  2.728e+00,  1.455e-01, -2.090e+00, -1.344e+00,  7.190e-03, -4.605e-04, -6.615e-03, -4.255e-03,
 2.081e+05,  7.805e-01,  2.210e+00, -9.909e-01,  2.430e+00, -1.703e+01,  2.192e-01, -1.714e+01,  8.972e-17,  2.515e+02,  5.604e+01,  3.789e+02, -8.387e+01,  2.243e+00,  2.723e-01, -1.703e+00,  1.791e+00,  8.725e-03, -8.616e-04, -5.390e-03,  5.668e-03,
 2.148e+05, -1.035e+00,  8.544e-01,  6.439e-01,  1.152e+00, -1.698e+01,  2.978e-01, -1.718e+01, -9.059e-17,  3.665e+02,  1.125e+02,  2.494e+02, -7.688e+01,  2.746e+00,  3.714e-01,  1.352e+00,  2.055e+00,  7.132e-03, -1.175e-03,  4.279e-03,  6.503e-03,
 2.215e+05,  6.711e-01, -4.325e-01, -6.904e-01, -3.660e-01, -1.706e+01,  6.658e-02, -1.707e+01,  4.417e-17,  2.696e+02,  1.797e+01,  3.690e+02, -2.422e+01,  2.304e+00,  8.274e-02,  2.298e+00, -9.623e-01,  8.531e-03, -2.618e-04,  7.271e-03, -3.045e-03,
 2.282e+05, -7.569e-01, -1.959e+00, -8.168e-02, -1.527e+00, -1.684e+01,  4.324e-01, -1.726e+01,  0.000e+00,  3.101e+02,  1.431e+02,  2.661e+02, -1.230e+02,  2.602e+00,  5.482e-01, -4.373e-01, -2.397e+00,  7.589e-03, -1.735e-03, -1.384e-03, -7.587e-03,
 2.349e+05, -3.213e-02, -3.126e+00,  3.213e-02, -3.126e+00, -1.704e+01,  9.446e-05, -1.704e+01,  2.741e-18,  3.183e+02,  3.007e-02,  3.137e+02, -4.396e-02,  2.509e+00,  1.181e-04, -2.500e+00, -3.963e-02,  7.882e-03, -3.737e-07, -7.910e-03, -1.254e-04,
 2.416e+05, -6.783e-02,  1.541e+00, -8.558e-01,  1.995e+00, -1.682e+01,  4.530e-01, -1.728e+01, -6.962e-17,  2.595e+02,  1.263e+02,  3.120e+02, -1.517e+02,  2.381e+00,  5.750e-01, -5.010e-01,  2.378e+00,  8.289e-03, -1.819e-03, -1.585e-03,  7.525e-03,
